Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005]
Germany,DEU,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,44.2628091617821,45.8101932990105,47.241229490714,46.0164689811742,44.8562977991792,43.642422472362,44.1135590864558,44.9947980705571,48.6523593771453,47.1638861318852,48.3458915232218
Poland,POL,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,80.9061646211232,82.9932874050521,85.2068624940557,84.3578977311376,86.7905442685663,88.0921006563158,89.2483506594054,90.8874668735053,91.8267080706219,92.4504242243288,92.2025759692068
Portugal,PRT,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.7182387238938,23.0027521699802,23.4258123243757,28.7146743900298,18.9793401171755,13.2238177720661,26.0620023442868,24.6201209455745,26.4372227908564,30.7929841897233,32.9652723651165
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,75.3093989605236,74.4921858694795,72.5227381120314,71.636055060821,66.759978260384,67.1782980878401,66.9680214367787,68.4446959114993,65.4820578389267,66.6882489170104,66.8596364733894
Italy,ITA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.1200730212174,16.7282716564311,16.8431691958223,18.2005933440521,16.6769777281073,14.8721604696542,15.0574852168485,15.4981867590351,16.1360967095146,16.3924196677836,16.6483627543458
Japan,JPN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.1527356254335,32.7419341069205,32.925870522337,29.7220792101697,27.099953182867,27.1551421674573,27.172727774767,27.230002606411,27.3459656058852,26.5865640229904,27.2263617165398
Singapore,SGP,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1.19607259744124,1.09761036857027,0.644166023890429,0.0127738391773648,0,0,0,0,0,0,0
United Kingdom,GBR,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.806490741952,30.3116975302198,37.0497899981152,40.0515015736592,30.062958067344,28.7459244658871,27.9965475740543,32.6819634643869,34.9875690572587,38.2482271306204,34.4782588904119
United States,USA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,34.2327337278988,39.6507326894421,39.9431412367387,38.4798556926388,43.3457640868712,45.7976057577193,45.437731595683,49.1044398086107,48.9939094547418,49.7728777773905,50.4570863552959
Greece,GRC,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,42.6594882482343,51.1411715630773,46.2338480932871,51.2069901762354,52.4961130264314,53.684173828159,55.959668707238,53.0200915564598,55.2949243354435,53.6133867295901,59.8095141938849
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,
